tick,cur_x,cur_y,cur_yaw,target_x,target_y,target_yaw,force_x,force_y,v_cmd,w_cmd,cur_v
400, 0.2575, 8.3943, -1.4177, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
401, 0.2578, 8.3921, -1.4155, 0.0000, 0.0000, 0.0000, -0.0009, 1.0339, 0.2000, 0.6000, 0.2000
402, 0.2578, 8.3921, -1.4155, 0.0000, 0.0000, 0.0000, -0.0009, 1.0339, 0.2000, -0.6000, 0.2000
403, 0.2581, 8.3899, -1.4178, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
404, 0.2581, 8.3899, -1.4178, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
405, 0.2581, 8.3899, -1.4178, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
406, 0.2585, 8.3877, -1.4241, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
407, 0.2585, 8.3877, -1.4241, 0.0000, 0.0000, 0.0000, -0.0012, 1.0625, 0.2000, 0.6000, 0.2000
408, 0.2585, 8.3877, -1.4241, 0.0000, 0.0000, 0.0000, -0.0012, 1.0625, 0.2000, -0.6000, 0.2000
409, 0.2588, 8.3855, -1.4219, 0.0000, 0.0000, 0.0000, -0.0006, 1.0863, 0.2000, 0.6000, 0.2000
410, 0.2588, 8.3855, -1.4219, 0.0000, 0.0000, 0.0000, -0.0006, 1.0863, 0.2000, -0.6000, 0.2000
411, 0.2591, 8.3833, -1.4242, 0.0000, 0.0000, 0.0000, -0.0006, 1.0863, 0.2000, 0.6000, 0.2000
412, 0.2591, 8.3833, -1.4242, 0.0000, 0.0000, 0.0000, -0.0014, 1.0736, 0.2000, -0.6000, 0.2000
413, 0.2591, 8.3833, -1.4242, 0.0000, 0.0000, 0.0000, -0.0014, 1.0736, 0.2000, 0.6000, 0.2000
414, 0.2594, 8.3811, -1.4220, 0.0000, 0.0000, 0.0000, -0.0008, 0.8508, 0.2000, -0.6000, 0.2000
415, 0.2594, 8.3811, -1.4220, 0.0000, 0.0000, 0.0000, -0.0008, 0.8508, 0.2000, 0.6000, 0.2000
416, 0.2594, 8.3811, -1.4220, 0.0000, 0.0000, 0.0000, -0.0008, 0.8508, 0.2000, -0.6000, 0.2000
417, 0.2598, 8.3789, -1.4158, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
418, 0.2598, 8.3789, -1.4158, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
419, 0.2598, 8.3789, -1.4158, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
420, 0.2601, 8.3767, -1.4180, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
421, 0.2601, 8.3767, -1.4180, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
422, 0.2605, 8.3745, -1.4158, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
423, 0.2605, 8.3745, -1.4158, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
424, 0.2605, 8.3745, -1.4158, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
425, 0.2608, 8.3723, -1.4181, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
426, 0.2608, 8.3723, -1.4181, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
427, 0.2608, 8.3723, -1.4181, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
